State,District,Population,State_Match,District_Match,Banking_Outlets,Population_per_Bank,Banking_Access_Rank,Banking_Access_Category,Expected_Banking_Outlets,Banking_Outlet_Gap,Banking_Gap_Priority
ARUNACHAL PRADESH,KURUNG KUMEY,92076,ARUNACHAL PRADESH,KURUNG KUMEY,1,92076.0,1.0,Very High Population per Bank,6.44,5.44,Low Priority
JAMMU & KASHMIR,KULGAM,424483,JAMMU & KASHMIR,KULGAM,5,84896.6,2.0,Very High Population per Bank,29.69,24.69,Moderate Priority
JAMMU & KASHMIR,PUNCH,476835,JAMMU & KASHMIR,POONCH,6,79472.5,3.0,Very High Population per Bank,33.35,27.35,Moderate Priority
JAMMU & KASHMIR,KUPWARA,870354,JAMMU & KASHMIR,KUPWARA,11,79123.09090909091,4.0,Very High Population per Bank,60.87,49.87,High Priority
JAMMU & KASHMIR,BANDIPORE,392232,JAMMU & KASHMIR,BANDIPORA,5,78446.4,5.0,Very High Population per Bank,27.43,22.43,Moderate Priority
MEGHALAYA,WEST KHASI HILLS,383461,MEGHALAYA,WEST KHASI HILLS,6,63910.166666666664,6.0,Very High Population per Bank,26.82,20.82,Moderate Priority
JAMMU & KASHMIR,PULWAMA,560440,JAMMU & KASHMIR,PULWAMA,9,62271.11111111111,7.0,Very High Population per Bank,39.2,30.2,Moderate Priority
ASSAM,BAKSA,950075,ASSAM,BAKSA,16,59379.6875,8.0,Very High Population per Bank,66.45,50.45,High Priority
ASSAM,DHUBRI,1949258,ASSAM,DHUBRI,34,57331.117647058825,9.0,Very High Population per Bank,136.33,102.33,Very High Priority
JAMMU & KASHMIR,ANANTNAG,1078692,JAMMU & KASHMIR,ANANTNAG,19,56773.26315789474,10.0,Very High Population per Bank,75.44,56.44,High Priority
MIZORAM,SAIHA,56574,MIZORAM,SIAHA,1,56574.0,11.0,Very High Population per Bank,3.96,2.96,Low Priority
NCT OF DELHI,NORTH EAST,2241624,NCT OF DELHI,NORTH-EAST DELHI,40,56040.6,12.0,Very High Population per Bank,156.77,116.77,Very High Priority
ARUNACHAL PRADESH,TIRAP,111975,ARUNACHAL PRADESH,TIRAP,2,55987.5,13.0,Very High Population per Bank,7.83,5.83,Low Priority
MADHYA PRADESH,TIKAMGARH,1445166,MADHYA PRADESH,TIKAMGARH,26,55583.307692307695,14.0,Very High Population per Bank,101.07,75.07,Very High Priority
JAMMU & KASHMIR,SHUPIYAN,266215,JAMMU & KASHMIR,SHOPIAN,5,53243.0,15.0,Very High Population per Bank,18.62,13.62,Low Priority
ASSAM,KARBI ANGLONG,956313,ASSAM,KARBI ANGLONG,18,53128.5,16.0,Very High Population per Bank,66.88,48.88,High Priority
JAMMU & KASHMIR,BARAMULA,1008039,JAMMU & KASHMIR,BARAMULLA,19,53054.68421052631,17.0,Very High Population per Bank,70.5,51.5,High Priority
RAJASTHAN,BARMER,2603751,RAJASTHAN,BARMER,50,52075.02,18.0,Very High Population per Bank,182.1,132.1,Very High Priority
JAMMU & KASHMIR,GANDERBAL,297446,JAMMU & KASHMIR,GANDERBAL,6,49574.333333333336,19.0,Very High Population per Bank,20.8,14.8,Low Priority
JAMMU & KASHMIR,BADGAM,753745,JAMMU & KASHMIR,BADGAM,16,47109.0625,20.0,Very High Population per Bank,52.71,36.71,High Priority
JAMMU & KASHMIR,KISHTWAR,230696,JAMMU & KASHMIR,KISHTWAR,5,46139.2,21.0,Very High Population per Bank,16.13,11.13,Low Priority
MEGHALAYA,EAST GARO HILLS,317917,MEGHALAYA,EAST GARO HILLS,7,45416.71428571428,22.0,Very High Population per Bank,22.23,15.23,Low Priority
CHHATTISGARH,KORIYA,658917,CHHATTISGARH,KORIYA,15,43927.8,23.0,Very High Population per Bank,46.08,31.08,Moderate Priority
RAJASTHAN,NAGAUR,3307743,RAJASTHAN,NAGAUR,77,42957.7012987013,24.0,Very High Population per Bank,231.33,154.33,Very High Priority
UTTAR PRADESH,SULTANPUR,3797117,UTTAR PRADESH,SULTANPUR,90,42190.188888888886,25.0,Very High Population per Bank,265.56,175.56,Very High Priority
MADHYA PRADESH,ALIRAJPUR,728999,MADHYA PRADESH,ALIRAJPUR,18,40499.944444444445,26.0,Very High Population per Bank,50.98,32.98,Moderate Priority
UTTAR PRADESH,BAHRAICH,3487731,UTTAR PRADESH,BAHRAICH,90,38752.566666666666,27.0,Very High Population per Bank,243.92,153.92,Very High Priority
UTTAR PRADESH,BUDAUN,3681896,UTTAR PRADESH,BUDAUN,96,38353.083333333336,28.0,Very High Population per Bank,257.5,161.5,Very High Priority
BIHAR,NAWADA,2219146,BIHAR,NAWADA,58,38261.137931034486,29.0,Very High Population per Bank,155.2,97.2,Very High Priority
GUJARAT,DOHAD,2127086,GUJARAT,DOHAD,56,37983.67857142857,30.0,Very High Population per Bank,148.76,92.76,Very High Priority
MADHYA PRADESH,JHABUA,1025048,MADHYA PRADESH,JHABUA,27,37964.74074074074,31.0,Very High Population per Bank,71.69,44.69,High Priority
ASSAM,UDALGURI,831668,ASSAM,UDALGURI,22,37803.09090909091,32.0,Very High Population per Bank,58.16,36.16,High Priority
JAMMU & KASHMIR,RAJOURI,642415,JAMMU & KASHMIR,RAJOURI,17,37789.117647058825,33.0,Very High Population per Bank,44.93,27.93,Moderate Priority
BIHAR,JAMUI,1760405,BIHAR,JAMUI,47,37455.425531914894,34.0,Very High Population per Bank,123.12,76.12,Very High Priority
BIHAR,PASHCHIM CHAMPARAN,3935042,BIHAR,PASCHIMI CHAMPARAN,106,37123.03773584906,35.0,Very High Population per Bank,275.21,169.21,Very High Priority
NAGALAND,KIPHIRE,74004,NAGALAND,KIPHIRE,2,37002.0,36.0,Very High Population per Bank,5.18,3.18,Low Priority
MANIPUR,CHANDEL,144182,MANIPUR,CHANDEL,4,36045.5,37.0,Very High Population per Bank,10.08,6.08,Low Priority
MADHYA PRADESH,SHIVPURI,1726050,MADHYA PRADESH,SHIVPURI,48,35959.375,38.0,Very High Population per Bank,120.72,72.72,Very High Priority
MEGHALAYA,SOUTH GARO HILLS,142334,MEGHALAYA,SOUTH GARO HILLS,4,35583.5,39.0,Very High Population per Bank,9.95,5.95,Low Priority
JAMMU & KASHMIR,RAMBAN,283713,JAMMU & KASHMIR,RAMBAN,8,35464.125,40.0,Very High Population per Bank,19.84,11.84,Low Priority
GUJARAT,BANAS KANTHA,3120506,GUJARAT,BANAS KANTHA,88,35460.295454545456,41.0,Very High Population per Bank,218.24,130.24,Very High Priority
MANIPUR,THOUBAL,422168,MANIPUR,THOUBAL,12,35180.666666666664,42.0,Very High Population per Bank,29.53,17.53,Moderate Priority
BIHAR,MADHUBANI,4487379,BIHAR,MADHUBANI,128,35057.6484375,43.0,Very High Population per Bank,313.84,185.84,Very High Priority
BIHAR,ARARIA,2811569,BIHAR,ARARIA,81,34710.72839506173,44.0,Very High Population per Bank,196.63,115.63,Very High Priority
