RBI_State,RBI_District,Banking_Outlets,Census_2011_State,Census_2011_District,Direct_Census_Match
ANDAMAN & NICOBAR ISLANDS,NICOBAR,4,ANDAMAN & NICOBAR ISLANDS,NICOBARS,True
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,8,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,True
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,45,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,True
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,22,ANDHRA PRADESH,VISAKHAPATNAM,True
ANDHRA PRADESH,ANAKAPALLI,126,ANDHRA PRADESH,VISAKHAPATNAM,True
ANDHRA PRADESH,ANANTHAPURAMU,155,ANDHRA PRADESH,ANANTAPUR,True
ANDHRA PRADESH,ANNAMAYYA,126,ANDHRA PRADESH,CHITTOOR,True
ANDHRA PRADESH,BAPATLA,148,ANDHRA PRADESH,GUNTUR,True
ANDHRA PRADESH,CHITTOOR,133,ANDHRA PRADESH,CHITTOOR,True
ANDHRA PRADESH,DR. B.R. AMBEDKAR KONASEEMA,170,ANDHRA PRADESH,DR. B.R. AMBEDKAR KONASEEMA,False
ANDHRA PRADESH,EAST GODAVARI,226,ANDHRA PRADESH,EAST GODAVARI,True
ANDHRA PRADESH,ELURU,185,ANDHRA PRADESH,WEST GODAVARI,True
ANDHRA PRADESH,GUNTUR,314,ANDHRA PRADESH,GUNTUR,True
ANDHRA PRADESH,KAKINADA,235,ANDHRA PRADESH,EAST GODAVARI,True
ANDHRA PRADESH,KRISHNA,269,ANDHRA PRADESH,KRISHNA,True
ANDHRA PRADESH,KURNOOL,149,ANDHRA PRADESH,KURNOOL,True
ANDHRA PRADESH,MARKAPURAM,79,ANDHRA PRADESH,MARKAPURAM,False
ANDHRA PRADESH,NANDYAL,132,ANDHRA PRADESH,KURNOOL,True
ANDHRA PRADESH,NTR,244,ANDHRA PRADESH,KRISHNA,True
ANDHRA PRADESH,PALNADU,153,ANDHRA PRADESH,GUNTUR,True
ANDHRA PRADESH,PARVATHIPURAM MANYAM,54,ANDHRA PRADESH,VIZIANAGARAM,True
ANDHRA PRADESH,POLAVARAM,19,ANDHRA PRADESH,POLAVARAM,False
ANDHRA PRADESH,PRAKASAM,119,ANDHRA PRADESH,PRAKASAM,True
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,223,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,True
ANDHRA PRADESH,SRI SATHYA SAI,114,ANDHRA PRADESH,ANANTAPUR,True
ANDHRA PRADESH,SRIKAKULAM,155,ANDHRA PRADESH,SRIKAKULAM,True
ANDHRA PRADESH,TIRUPATI,229,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,True
ANDHRA PRADESH,VISAKHAPATNAM,363,ANDHRA PRADESH,VISAKHAPATNAM,True
ANDHRA PRADESH,VIZIANAGARAM,166,ANDHRA PRADESH,VIZIANAGARAM,True
ANDHRA PRADESH,WEST GODAVARI,241,ANDHRA PRADESH,WEST GODAVARI,True
