State,Districts,Total_Population,Total_Banking_Outlets,Average_Population_per_Bank,Population_per_Bank_State
BIHAR,38,104099452,4217,27548.042236199613,24685.665639079914
JAMMU & KASHMIR,22,12541302,532,41098.07469454412,23573.875939849626
ASSAM,27,31205576,1504,27148.015421456465,20748.38829787234
MANIPUR,9,2855794,149,23352.994934761966,19166.40268456376
CHHATTISGARH,18,25545198,1358,21377.14529169371,18810.896907216495
UTTAR PRADESH,71,199812341,10656,22404.758079558876,18751.15812687688
TRIPURA,4,3673917,202,21281.10126512157,18187.70792079208
WEST BENGAL,19,91276115,5024,21844.178337341244,18168.016520700636
MEGHALAYA,7,2966889,166,31119.047808451443,17872.82530120482
MADHYA PRADESH,50,72626809,4131,22522.653809262974,17580.926894214477
RAJASTHAN,33,68548437,3991,20912.43746581531,17175.754698070657
NAGALAND,11,1978502,128,20521.653626089934,15457.046875
MAHARASHTRA,35,112374333,7513,18516.260062789683,14957.318381472114
JHARKHAND,24,32988134,2248,17498.09280419437,14674.436832740214
MIZORAM,8,1097206,83,23738.594270833335,13219.349397590362
GUJARAT,26,60439692,4701,16095.769563566379,12856.773452456924
ODISHA,30,41974218,3290,14903.383544717588,12758.120972644378
ARUNACHAL PRADESH,16,1383727,113,22393.85163690476,12245.371681415929
TAMIL NADU,32,72147030,5933,14718.284233541217,12160.294960391033
PUDUCHERRY,4,1247953,107,8818.234058478463,11663.11214953271
ANDHRA PRADESH,23,84580777,7673,13237.889572704657,11023.169164603154
KARNATAKA,30,61095297,5627,13374.620540877682,10857.525679758308
DADRA & NAGAR HAVELI,1,343709,34,10109.088235294117,10109.088235294117
KERALA,14,33406061,3514,10231.62840254819,9506.562606715994
NCT OF DELHI,9,16787941,1792,14501.134597581799,9368.27064732143
HARYANA,21,25351462,2740,11154.144196707863,9252.358394160585
DAMAN & DIU,2,243247,30,7397.868421052632,8108.233333333334
PUNJAB,20,27743338,3762,8258.634416300149,7374.6246677299305
UTTARAKHAND,13,10086292,1464,7548.1840538768065,6889.543715846995
SIKKIM,4,610577,91,8300.027806626604,6709.6373626373625
ANDAMAN & NICOBAR ISLANDS,3,380581,57,9234.05648148148,6676.859649122807
HIMACHAL PRADESH,12,6864602,1204,5604.917511921466,5701.496677740864
CHANDIGARH,1,1055450,229,4608.951965065502,4608.951965065502
LAKSHADWEEP,1,64473,16,4029.5625,4029.5625
GOA,2,1458545,405,3593.815687675553,3601.3456790123455
